"Year","Month","Detections","Inadequately documented air arrivals","Recorded detections at UK ports","Recorded detections in the UK","SBArrivals","VaC_Afg","VaC_Alb","VaC_Alg","VaC_Bah","VaC_Dji","VaC_Egp","VaC_Eri","VaC_Eth","Vac_Geo","VaC_Ind","VaC_Iran","VaC_Iraq","VaC_Isr","VaC_Jor","VaC_Leb","VaC_Lib","VaC_Mor","VaC_Pak","VaC_Sri","VaC_Sud","VaC_Syr","VaC_Tun","VaC_Turk","VaC_Viet","VaC_Yem","Pro_Afg","Pro_Alb","Pro_Alg","Pro_Bah","Pro_Dji","Pro_Egp","Pro_Eri","Pro_Eth","Pro_Geo","Pro_Ind","Pro_Iran","Pro_Iraq","Pro_Isr","Pro_Jor","Pro_Kuw","Pro_Leb","Pro_Lib","Pro_Mor","Pro_Pak","Pro_Sri","Pro_Sud","Pro_Syr","Pro_Tun","Pro_Turk","Pro_Viet","Pro_Yem","SD_Afg","SD_Alb","SD_Alg","SD_Bah","SD_Dji","SD_Egp","SD_Eri","SD_Eth","SD_Geo","SD_Ind","SD_Iran","SD_Iraq","SD_Isr","SD_Jor","SD_Kuw","SD_Leb","SD_Lib","SD_Mor","SD_Pak","SD_Sri","SD_Sud","SD_Syr","SD_Tun","SD_Turk","SD_Viet","SD_Yem","Expl_Afg","Expl_Alb","Expl_Alg","Expl_Bah","Expl_Egp","Expl_Eri","Expl_Eth","Expl_Geo","Expl_Ind","Expl_Iran","Expl_Iraq","Expl_Isr","Expl_Jor","Expl_Leb","Expl_Lib","Expl_Mor","Expl_Pak","Expl_Sri","Expl_Sud","Expl_Syr","Expl_Tun","Expl_Turk","Expl_Viet","Expl_Yem","Batt_Afg","Batt_Alb","Batt_Alg","Batt_Bah","Batt_Dji","Batt_Egp","Batt_Eri","Batt_Eth","Batt_Geo","Batt_Ind","Batt_Iran","Batt_Iraq","Batt_Isr","Batt_Jor","Batt_Leb","Batt_Lib","Batt_Mor","Batt_Pak","Batt_Sri","Batt_Sud","Batt_Syr","Batt_Tun","Batt_Turk","Batt_Viet","Batt_Yem","Riot_Afg","Riot_Alb","Riot_Alg","Riot_Bah","Riot_Dji","Riot_Egp","Riot_Eri","Riot_Eth","Riot_Geo","Riot_Ind","Riot_Iran","Riot_Iraq","Riot_Isr","Riot_Jor","Riot_Kuw","Riot_Leb","Riot_Lib","Riot_Mor","Riot_Pak","Riot_Sri","Riot_Sud","Riot_Syr","Riot_Tun","Riot_Turk","Riot_Viet","Riot_Yem","Nat_Afg","Nat_Alb","Nat_Alg","Nat_Dji","Nat_Egp","Nat_Eri","Nat_Eth","Nat_Geo","Nat_Ind","Nat_Iran","Nat_Iraq","Nat_Isr","Nat_Jor","Nat_Kuw","Nat_Leb","Nat_Lib","Nat_Mor","Nat_Pak","Nat_Pal","Nat_SoSud","Nat_Sri","Nat_Sud","Nat_Syr","Nat_Tun","Nat_Turk","Nat_Viet","Nat_Yem","Tech_Afg","Tech_Alg","Tech_Dji","Tech_Egp","Tech_Eth","Tech_Geo","Tech_Ind","Tech_Iran","Tech_Iraq","Tech_Isr","Tech_Jor","Tech_Kuw","Tech_Leb","Tech_Lib","Tech_Mor","Tech_Pak","Tech_Pal","Tech_SoSud","Tech_Sri","Tech_Sud","Tech_Syr","Tech_Tun","Tech_Turk","Tech_Viet","Tech_Yem","Dis_Afg","Dis_Alb","Dis_Alg","Dis_Dji","Dis_Egp","Dis_Eri","Dis_Eth","Dis_Geo","Dis_Ind","Dis_Iran","Dis_Iraq","Dis_Isr","Dis_Jor","Dis_Kuw","Dis_Leb","Dis_Lib","Dis_Mor","Dis_Pak","Dis_Pal","Dis_SoSud","Dis_Sri","Dis_Sud","Dis_Syr","Dis_Tun","Dis_Turk","Dis_Viet","Dis_Yem","one_GBP_equivalent_to_x_AFN","one_GBP_equivalent_to_x_ALL","one_GBP_equivalent_to_x_DZD","one_GBP_equivalent_to_x_EGP","one_GBP_equivalent_to_x_ERN","one_GBP_equivalent_to_x_ETB","one_GBP_equivalent_to_x_GEL","one_GBP_equivalent_to_x_INR","one_GBP_equivalent_to_x_IRR","one_GBP_equivalent_to_x_IQD","one_GBP_equivalent_to_x_KWD","one_GBP_equivalent_to_x_LYD","one_GBP_equivalent_to_x_PKR","one_GBP_equivalent_to_x_LKR","one_GBP_equivalent_to_x_SDG","one_GBP_equivalent_to_x_SYP","one_GBP_equivalent_to_x_TRY","one_GBP_equivalent_to_x_VND","one_GBP_equivalent_to_x_YER","one_GBP_equivalent_to_x_EUR","one_GBP_equivalent_to_x_BHD","one_GBP_equivalent_to_x_DJF","one_GBP_equivalent_to_x_ILS","one_GBP_equivalent_to_x_JOD","one_GBP_equivalent_to_x_LBP","one_GBP_equivalent_to_x_MAD","one_GBP_equivalent_to_x_TND","mean_temp","mean_precip","mean_wspeed","PALLFNF","PNFUEL","PNRG","PAGRI","PMETA","PFERT","C8EV_International.travel.controls","g_covid","Frontex_Detections","PR_Afg","PR_Alb","PR_Alg","PR_Bah","PR_Dji","PR_Egp","PR_Eri","PR_Eth","PR_Geo","PR_Ind","PR_Iran","PR_Iraq","PR_Isr","PR_Jor","PR_Kuw","PR_Leb","PR_Lib","PR_Mor","PR_Pak","PR_Sri","PR_Sud","PR_Syr","PR_Tun","PR_Turk","PR_Viet","PR_Yem","CL_Afg","CL_Alb","CL_Alg","CL_Bah","CL_Dji","CL_Egp","CL_Eri","CL_Eth","CL_Geo","CL_Ind","CL_Iran","CL_Iraq","CL_Isr","CL_Jor","CL_Kuw","CL_Leb","CL_Lib","CL_Mor","CL_Pak","CL_Sri","CL_Sud","CL_Syr","CL_Tun","CL_Turk","CL_Viet","CL_Yem","visa_AF","visa_AL","visa_IR","visa_IQ","visa_SY","job_AF","job_AL","job_IR","job_IQ","job_SY","england_AF","england_AL","england_IR","england_IQ","england_SY","Unemployment rate (aged 16 and over, seasonally adjusted): %","ID","Dublin"
"2017","01",783,357,38,388,0,30,0,0,2,1,2,0,11,0,46,1,18,2,0,6,6,0,16,2,36,130,1,15,2,7,17,0,28,302,0,9,0,1,0,1073,197,6,39,2,0,28,5,4,315,38,17,35,39,15,0,11,46,0,2,0,0,3,1,2,0,10,4,23,1,0,0,7,7,0,5,0,6,29,0,12,0,7,266,0,1,0,3,0,4,0,25,2,260,1,1,7,29,0,14,0,1,2086,4,7,0,635,547,0,5,4,0,19,0,6,0,57,0,175,0,1,4,23,0,27,0,10,753,3,31,0,169,1,0,17,155,0,1,0,1,0,131,3,0,7,0,0,5,1,1,20,0,0,0,30,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,81.232227516129,155.476583129032,135.100523516129,22.9549205483871,1.23493787096774,27.5237999677419,1.23493787096774,83.9148850645161,39969.8065760645,1422.84494012903,0.376018870967742,1.73250464516129,127.696262580645,180.987856580645,7.88404180645161,186.048009290323,4.612744,27430.6438291935,308.291392322581,1.16224932258065,0.461613322580645,214.736326258065,4.71155564516129,0.865876064516129,1753.42642512903,12.085225,2.83825267741936,3.42903225806452,1.53812903225806,25.1354838709677,115.704869800857,107.324612802848,127.826696489188,106.796646321767,121.368344497015,100.446911208176,0,0,9255,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,20,24,82,57,12,55,21,28,16,29,9,12,19,15,7,"4.5999999999999996",1,1
"2017","02",805,281,51,473,0,23,0,1,1,0,11,0,5,0,59,1,17,2,0,3,11,0,12,2,29,90,1,13,1,6,16,0,29,288,0,5,0,1,0,775,189,1,17,13,0,43,4,3,406,38,15,12,35,21,2,8,28,0,1,0,0,3,0,1,0,11,8,16,1,0,0,6,6,0,6,0,6,34,1,7,0,16,212,0,3,5,13,0,1,0,13,0,207,4,0,1,20,0,33,0,1,1851,1,11,0,491,455,0,6,0,0,11,0,15,0,49,2,92,0,0,9,26,0,51,0,18,687,2,16,0,114,1,0,2,130,0,2,0,1,0,235,1,1,13,1,0,13,1,2,16,0,4,1,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,82.21412825,156.238603857143,136.677430571429,21.2977863214286,1.25025528571429,28.01884125,1.25025528571429,83.5701519285714,40486.7449725714,1442.83842160714,0.379550785714286,1.74783075,129.831270892857,184.674116678571,7.97069692857143,1.25025528571429,4.58434185714286,27931.5119256786,311.9250125,1.17332542857143,0.467476071428571,218.410977928571,4.65583257142857,0.8763435,1851.58644232143,12.2180008571429,2.851164,6.38571428571429,1.33525,29.0714285714286,116.331460765317,109.911612290388,125.617606834217,107.252366835679,128.723245227462,107.655271301784,0,0,13722,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,21,28,83,54,14,56,27,27,13,30,11,13,20,14,8,"4.5999999999999996",2,1
"2017","03",982,271,43,668,0,19,0,1,0,1,4,0,7,0,56,1,27,2,0,5,21,0,16,0,26,119,2,17,0,7,4,0,9,192,0,19,0,5,0,908,125,2,18,2,0,50,6,6,261,22,35,6,40,33,5,10,7,0,0,0,0,1,0,1,0,9,3,33,0,1,0,9,14,0,9,0,9,21,0,26,0,16,364,0,1,0,13,0,1,0,22,0,290,3,1,5,40,0,23,0,2,1839,2,12,0,592,767,0,6,1,0,12,0,18,0,42,3,213,1,0,11,31,0,47,0,8,604,3,53,0,131,0,0,2,74,0,8,0,0,0,182,3,0,10,0,0,12,2,2,17,2,3,2,23,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81.094195516129,153.398453709677,134.875833806452,21.6611439677419,1.23371838709677,27.7358891935484,1.23371838709677,81.1537799032258,39989.826599129,1413.72965025806,0.375292258064516,1.72440793548387,127.851976354839,182.989832064516,8.04746109677419,1.23371838709677,4.53637064516129,27637.2995488065,307.62343583871,1.1550854516129,0.460628064516129,215.458578322581,4.50355287096774,0.864619419354839,1815.07566293548,12.0418598064516,2.81023251612903,8.97741935483871,0.590354838709677,30.1096774193548,110.842228738389,107.433716767711,115.772553832653,103.765089231734,127.21434467125,105.73952440177,0,0,15898,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,22,29,100,54,15,51,25,32,14,33,6,11,20,13,15,"4.5",3,1
"2017","04",737,277,86,374,0,8,0,2,0,0,8,0,4,0,59,3,35,1,0,3,4,0,5,0,25,87,0,1,1,10,5,0,11,138,0,4,0,1,0,815,124,0,11,5,0,44,5,3,220,18,11,24,70,63,9,13,6,0,0,1,0,4,0,1,0,6,10,20,1,0,0,6,4,1,3,1,3,26,0,18,0,14,296,0,2,1,26,0,5,0,12,0,257,1,2,7,45,0,16,0,8,2206,3,21,0,561,750,0,3,0,0,25,0,19,0,47,2,142,0,0,14,13,0,26,0,13,593,1,63,1,108,1,0,2,98,0,3,0,0,0,250,1,0,1,1,0,7,1,1,15,2,5,0,38,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,83.9494518666667,156.753211766667,138.0996187,22.8085090333333,1.26268593333333,28.4976788,1.26268593333333,81.3691081666667,39611.0672399,1439.28780926667,0.382655233333333,1.75660763333333,131.140143166667,187.949026166667,8.3772416,1.26268593333333,4.60813913333333,28213.8296469667,315.6135776,1.17886883333333,0.472150866666667,219.381028133333,4.60255746666667,0.8864263,1867.76512313333,12.3038854666667,2.94938776666667,9.13,0.220133333333333,22.83,111.112790999156,105.504002705295,119.225759330065,103.112753662955,116.892171289011,101.895481004909,0,0,16964,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,21,67,96,58,13,50,28,30,16,32,9,11,18,10,5,"4.4000000000000004",4,1
"2017","05",919,277,53,589,0,18,0,2,1,0,9,1,4,0,47,3,30,2,1,6,7,1,14,3,29,117,0,2,3,11,2,0,24,232,0,7,0,0,0,611,183,3,15,6,1,29,3,30,344,12,10,4,63,36,0,18,17,0,0,6,0,2,0,1,0,12,10,26,2,1,0,14,5,1,2,1,7,52,1,2,0,10,337,0,1,0,16,0,0,0,24,0,215,2,3,0,39,0,22,1,3,1417,2,15,0,457,860,0,7,0,0,19,0,8,0,74,2,197,1,1,11,23,0,38,0,23,575,3,83,0,136,0,0,22,60,0,1,0,0,0,200,7,1,5,0,0,5,1,4,24,3,1,0,21,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,86.6677143225807,154.633631064516,140.24943916129,23.3527327741935,1.29238796774194,29.3931972903226,1.29238796774194,83.1728679677419,40589.5284947419,1473.61963548387,0.39142264516129,1.78168119354839,133.795866064516,193.055046774194,8.56858193548387,1.29238796774194,4.61417122580645,28882.0907521613,322.794594225806,1.17059683870968,0.483334225806452,225.131134387097,4.64028435483871,0.90754135483871,1916.34568183871,12.3722109032258,3.13363677419355,13.2129032258065,1.79170967741935,26.258064516129,108.927676016284,105.101432215407,114.46223948284,104.946091972449,111.665433008529,99.1876051847201,0,0,27871,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,20,32,80,67,10,49,25,29,17,24,13,12,19,17,13,"4.4000000000000004",5,1
"2017","06",842,230,82,530,0,21,0,1,0,0,5,0,3,0,37,2,15,1,0,5,6,0,6,0,36,112,3,2,3,8,4,0,13,156,1,8,0,0,0,833,175,0,12,0,0,13,7,23,235,19,3,14,29,23,4,4,8,0,0,1,0,5,1,3,0,1,9,7,1,1,0,3,3,2,1,0,9,36,4,0,1,13,291,0,4,2,7,0,0,0,18,0,219,2,0,9,30,0,10,0,3,1487,5,17,0,421,582,0,1,0,0,9,0,12,0,100,7,129,0,0,6,25,0,23,0,17,623,5,73,0,133,2,0,6,72,0,7,0,0,0,185,7,1,9,0,0,2,0,8,4,3,2,2,15,1,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,1,4,0,0,0,1,0,0,0,1,0,86.0202326666667,149.091361466667,138.043049733333,23.1258762333333,1.2789282,29.2244260666667,1.2789282,82.3362157,16670.6922546,1459.26194816667,0.3864478,1.75243646666667,132.696687466667,191.5338394,8.48095203333333,1.2789282,4.5026174,28586.6671181667,319.3805663,1.14044523333333,0.4785122,223.445674233333,4.51244173333333,0.898658233333333,1891.87497526667,12.1314887333333,3.12902283333333,16.8933333333333,0.621433333333333,24.4133333333333,105.675238726499,104.132782108445,107.906362641047,103.758466385259,109.860045332343,92.5474909094113,0,0,30198,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,21,34,90,62,13,64,21,35,17,35,9,9,19,8,13,"4.2999999999999998",6,1
"2017","07",1080,351,75,654,0,29,0,1,0,0,2,0,4,0,46,0,17,1,0,3,11,1,9,0,22,142,1,11,4,18,15,0,28,85,0,9,0,10,0,747,205,1,11,15,2,17,8,6,255,34,15,43,32,38,1,9,23,0,0,0,0,2,0,4,0,12,7,7,2,0,0,9,6,1,0,0,7,22,3,2,0,4,394,0,0,1,10,0,2,0,11,0,237,1,2,16,33,0,18,0,2,1530,1,23,0,475,862,0,4,0,0,48,0,14,0,71,4,119,0,1,23,25,1,36,1,14,572,2,64,0,156,0,0,6,101,0,3,1,3,0,142,9,0,6,0,0,1,2,1,7,2,4,1,17,1,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,84.6875325806452,142.075001419355,136.126170870968,22.5624291612903,1.29958583870968,28.9317330322581,1.29958583870968,83.6507535483871,36895.7872055161,1431.96334864516,0.421151774193548,1.74848538709677,130.839378096774,188.940602096774,8.36226006451613,118.629716709677,4.62476861290323,28084.9946951613,314.19652216129,1.12859351612903,0.512423129032258,219.453497774194,4.59847135483871,0.925345967741935,1850.89103022581,11.7714423548387,3.10683125806452,17.4741935483871,2.22870967741936,26.9516129032258,108.228429724116,106.124254802043,111.27206475027,105.713010950255,117.186914737698,88.4029105532219,0,0,18574,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,21,38,90,64,14,51,28,34,14,24,9,13,19,10,8,"4.2999999999999998",7,1
"2017","08",914,302,51,561,0,17,0,1,0,0,0,0,7,0,28,3,42,1,0,4,20,0,8,0,22,113,1,4,0,14,11,0,28,63,0,8,0,17,0,722,125,4,14,1,0,11,11,11,251,48,4,19,17,17,2,4,24,0,0,0,0,0,0,1,0,3,2,5,2,0,0,9,9,0,1,0,6,41,3,4,0,21,405,0,2,1,3,0,3,0,19,0,282,1,1,12,21,0,17,0,1,1783,3,18,0,431,930,0,2,0,0,21,0,13,0,59,3,141,0,0,21,14,0,30,0,5,500,1,62,0,204,0,0,1,84,0,1,0,6,0,157,2,0,5,4,0,2,5,4,11,2,1,0,7,1,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,87.6096752903226,142.694452774194,141.415642709677,22.9935813548387,1.29657887096774,29.948978,1.29657887096774,82.7550943870968,42366.1646912258,1478.20748003226,0.390234516129032,1.73890896774194,134.668581677419,194.473353483871,8.58762525806452,666.108261580645,4.55568725806452,28984.2706475806,323.820678064516,1.09778293548387,0.485516709677419,226.590410967742,4.66073977419355,0.909993548387097,1907.55672290323,11.8985067096774,3.125999,16.8387096774194,2.8421935483871,23.5225806451613,111.044240889913,106.4953559747,117.624086183498,101.855699087393,127.01562782119,88.1435846523523,0,0,13532,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,22,41,91,67,14,47,37,32,16,35,11,10,19,14,11,"4.2999999999999998",8,1
"2017","09",1043,363,93,587,0,36,0,1,0,0,3,0,15,0,32,2,21,0,0,2,22,0,8,0,22,108,5,5,1,9,3,0,41,51,0,5,0,11,0,677,142,2,9,1,0,16,20,8,325,17,7,12,39,26,2,4,42,0,1,0,0,2,0,1,0,4,2,6,1,0,0,3,19,0,1,0,3,68,2,19,0,6,286,0,1,0,12,0,2,0,13,0,250,0,0,5,25,0,17,0,0,1878,1,17,0,405,615,0,3,1,0,13,0,15,0,94,0,89,0,0,3,31,2,25,0,9,560,2,64,0,198,0,0,4,46,0,0,0,1,0,79,0,0,5,0,0,0,2,2,1,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,89.9070187333333,146.201978866667,147.7422347,23.4212854,1.32910523333333,30.8920035,1.32910523333333,85.4588245,44071.5085870667,1518.0104099,0.399450433333333,1.77353376666667,138.6179948,199.168238766667,8.81627996666667,683.1557615,4.60928933333333,29755.9624845,331.9580265,1.11528176666667,0.4978444,232.5783156,4.69046356666667,0.933290666666667,1959.23286606667,12.1027247333333,3.2416517,14.51,2.04,25.99,114.09346486128,106.15758191142,125.572515892763,100.693688970191,126.102736346403,88.5890194593218,0,0,17299,6,3,6,7,6,6,7,7,3,2,6,5,1,5,5,5,7,5,4,3,7,7,1,4,7,7,6,3,5,6,5,5,7,6,3,3,6,6,2,5,5,4,6,4,5,4,7,7,3,5,5,6,19,48,87,86,12,55,30,28,20,27,7,15,20,17,10,"4.2000000000000002",9,1
